console,genre,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year
GBA,Strategy,6.8,0.0,0.0,0.04,0.0,0.0,2002
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2008
PC,Strategy,9.1,0.0,0.12,0.04,0.0,0.0,1996
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2007
PC,Strategy,6.2,0.0,0.12,0.04,0.0,0.0,2005
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,6.8,0.0,0.12,0.04,0.0,0.0,2005
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2008
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2001
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2003
PC,Strategy,4.7,0.0,0.12,0.04,0.0,0.0,2002
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2000
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2000
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2005
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2007
PSP,Strategy,7.8,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Strategy,6.8,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2005
WiiU,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2016
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2001
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2002
PC,Strategy,8.4,0.0,0.12,0.04,0.0,0.0,2008
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2001
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2009
PC,Strategy,8.6,0.0,0.12,0.04,0.0,0.0,2001
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,1999
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2002
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2007
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2000
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2011
DS,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2007
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2010
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2007
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2003
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2007
PC,Strategy,6.1,0.0,0.12,0.04,0.0,0.01,2009
GBA,Action,7.5,0.0,0.0,0.04,0.0,0.0,2002
GBA,Action,6.8,0.0,0.0,0.04,0.0,0.0,2003
PC,Strategy,8.7,0.0,0.12,0.04,0.0,0.01,2001
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2003
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2005
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2008
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2006
DS,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2003
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2007
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2005
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2004
DS,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2008
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2002
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2001
PC,Strategy,7.8,0.0,0.12,0.04,0.0,0.01,2004
PC,Strategy,8.2,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2006
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2007
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.01,2004
GBA,Strategy,7.6,0.0,0.0,0.04,0.0,0.0,2002
PC,Strategy,7.5,0.0,0.12,0.04,0.0,0.0,2006
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2002
DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2009
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2008
DS,Action,7.5,0.0,0.12,0.04,0.0,0.0,2008
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2003
PC,Action,8.5,0.0,0.12,0.04,0.0,0.0,2000
PS2,Action,7.5,0.0,0.12,0.0,0.04,0.01,2006
PS4,Action,7.5,0.0,0.12,0.0,0.04,0.01,2017
PSP,Action,7.5,0.0,0.12,0.04,0.0,0.0,2008
PSV,Action,7.5,0.0,0.0,0.04,0.04,0.0,2012
PC,Action,7.8,0.0,0.12,0.04,0.0,0.0,2003
DS,Action,7.5,0.0,0.12,0.04,0.0,0.0,2011
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2015
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2003
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2009
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2016
PS4,Action,7.5,0.0,0.12,0.04,0.0,0.0,2017
PSN,Action,7.5,0.0,0.12,0.04,0.0,0.0,2009
PC,Action,7.5,0.0,0.0,0.04,0.04,0.0,2007
GBA,Action,3.1,0.0,0.0,0.04,0.0,0.0,2002
NS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2017
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2011
PS3,Action,8.1,0.0,0.12,0.0,0.04,0.01,2008
PS3,Action,7.5,0.0,0.12,0.0,0.04,0.01,2008
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2003
DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2008
PSP,Action,7.5,0.0,0.12,0.04,0.0,0.0,2005
3DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2015
PC,Action,7.4,0.0,0.12,0.04,0.0,0.0,2010
X360,Action,7.5,0.0,0.0,0.04,0.04,0.0,2010
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2004
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2008
3DS,Party,7.5,0.0,0.12,0.04,0.0,0.0,2013
PC,Platform,7.5,0.0,0.12,0.04,0.0,0.01,2000
GBA,Platform,7.5,0.0,0.0,0.04,0.0,0.0,2002
DS,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2007
PC,Platform,7.5,0.0,0.12,0.04,0.0,0.01,2006
PS3,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2011
PC,Platform,6.7,0.0,0.12,0.04,0.0,0.01,2005
GBA,Action,7.5,0.0,0.0,0.04,0.0,0.0,2006
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2006
DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2008
PS4,Action,7.5,0.0,0.12,0.04,0.0,0.0,2015
PS3,Action,7.5,0.0,0.12,0.04,0.0,0.0,2014
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2008
GBA,Action,7.5,0.0,0.0,0.04,0.0,0.0,2006
WiiU,Action,5.7,0.0,0.12,0.04,0.0,0.0,2013
PSV,Action,7.5,0.0,0.12,0.04,0.0,0.0,2014
PS3,Action,7.5,0.0,0.12,0.04,0.0,0.0,2009
XB,Action,7.5,0.0,0.0,0.04,0.0,0.0,2005
WiiU,Action,7.5,0.0,0.12,0.04,0.0,0.0,2015
PSN,Action,7.5,0.0,0.12,0.0,0.0,0.0,2009
XOne,Action,7.5,0.0,0.12,0.04,0.0,0.0,2015
PC,Action,4.2,0.0,0.0,0.04,0.04,0.0,2010
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2014
DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2008
3DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2015
GBA,Action,6.1,0.0,0.0,0.04,0.0,0.0,2001
PS3,Action,7.5,0.0,0.12,0.0,0.04,0.01,2008
WiiU,Action,7.5,0.0,0.12,0.04,0.0,0.0,2015
DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2009
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2014
PSV,Action,7.5,0.0,0.12,0.0,0.04,0.01,2015
3DS,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2014
PSV,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
PSV,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2014
NS,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
NS,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
PSV,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
X360,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2013
PS4,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
XOne,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2014
DS,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2008
DS,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2009
PC,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2005
PS3,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2014
PC,Platform,8.8,0.0,0.12,0.04,0.0,0.0,2005
PC,Platform,7.5,0.0,0.12,0.04,0.0,0.01,2003
PC,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2009
PC,Platform,9.1,0.0,0.12,0.04,0.0,0.0,1999
DS,Platform,7.5,0.0,0.12,0.0,0.04,0.01,2008
PS3,Platform,9.5,0.0,0.12,0.04,0.0,0.0,2009
DS,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2008
PC,Platform,4.6,0.0,0.12,0.04,0.0,0.0,2004
DS,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2007
DS,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2005
PC,Platform,7.5,0.0,0.12,0.04,0.0,0.0,1997
DS,Action,7.5,0.0,0.12,0.0,0.04,0.01,2009
PC,Action,7.5,0.0,0.12,0.04,0.0,0.0,2009
WiiU,Action,7.5,0.0,0.12,0.0,0.04,0.01,2020
NS,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2020
PS4,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
PSV,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
PC,Platform,6.4,0.0,0.12,0.04,0.0,0.0,2006
PC,Platform,9.0,0.0,0.12,0.04,0.0,0.0,2011
PC,Role-Playing,7.5,0.0,0.12,0.04,0.0,0.0,2015
GBA,Role-Playing,6.4,0.0,0.0,0.04,0.0,0.0,2001
PC,Role-Playing,9.2,0.0,0.12,0.04,0.0,0.0,1998
PC,Role-Playing,6.6,0.0,0.0,0.04,0.04,0.0,2011
PC,Role-Playing,7.5,0.0,0.12,0.04,0.0,0.0,2007
PC,Role-Playing,7.3,0.0,0.12,0.04,0.0,0.0,2006
DS,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2009
DS,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2008
DS,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2009
Wii,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2008
X360,Role-Playing,7.5,0.0,0.12,0.04,0.0,0.0,2016
PC,Role-Playing,7.5,0.0,0.12,0.04,0.0,0.0,2015
PC,Role-Playing,7.5,0.0,0.12,0.04,0.0,0.0,2003
X360,Role-Playing,7.5,0.0,0.0,0.04,0.04,0.0,2007
PC,Role-Playing,7.5,0.0,0.0,0.04,0.04,0.0,2009
PS3,Role-Playing,7.5,0.0,0.12,0.04,0.0,0.0,2015
Wii,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2009
PC,Role-Playing,7.8,0.0,0.12,0.04,0.0,0.0,2007
X360,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2006
3DS,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2014
PSP,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2009
DS,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2009
PC,Role-Playing,7.5,0.0,0.12,0.04,0.0,0.0,2009
PSP,Role-Playing,7.5,0.0,0.12,0.0,0.04,0.01,2009
PSV,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
PSV,Visual Novel,7.5,0.0,0.12,0.0,0.04,0.01,2018
PSV,Platform,7.5,0.0,0.12,0.04,0.0,0.0,2014
WiiU,Platform,7.0,0.0,0.12,0.04,0.0,0.0,2014
XB,Platform,6.4,0.0,0.0,0.04,0.0,0.0,2006
PC,Platform,6.0,0.0,0.0,0.04,0.04,0.0,2004
GBA,Platform,7.5,0.0,0.0,0.04,0.0,0.0,2002
DS,Role-Playing,7.5,0.0,0.0,0.04,0.04,0.0,2007
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2005
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,1997
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2001
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,1997
PS4,Action,9.7,0.12,0.12,0.04,0.04,0.01,2018
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,1981
PS4,Action,9.2,0.12,0.12,0.04,0.04,0.01,2016
PS2,Action,9.5,0.12,0.12,0.04,0.04,0.01,2004
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2022
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
PS4,Action,9.4,0.12,0.12,0.04,0.04,0.01,2020
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2011
PS3,Action,9.3,0.12,0.12,0.04,0.04,0.01,2011
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,1988
PS,Action,8.0,0.12,0.12,0.04,0.04,0.01,2001
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2004
PS3,Action,9.2,0.12,0.12,0.04,0.04,0.01,2010
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2019
PC,Action,8.3,0.12,0.12,0.04,0.04,0.01,2011
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2010
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Action,8.8,0.12,0.12,0.04,0.04,0.01,2013
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,1984
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PS,Action,9.3,0.12,0.12,0.04,0.04,0.01,1998
PS2,Action,9.3,0.12,0.12,0.04,0.04,0.01,2005
PC,Action,7.1,0.12,0.12,0.04,0.04,0.01,2011
PS4,Action,7.1,0.12,0.12,0.04,0.04,0.01,2016
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
3DS,Action,8.8,0.12,0.12,0.04,0.04,0.01,2016
PS2,Action,9.3,0.12,0.12,0.04,0.04,0.01,2007
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
PC,Action,8.2,0.12,0.12,0.04,0.04,0.01,2010
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2005
2600,Action,7.5,0.12,0.12,0.04,0.04,0.01,1982
NS,Action,9.0,0.12,0.12,0.04,0.04,0.01,2020
PS4,Action,9.3,0.12,0.12,0.04,0.04,0.01,2018
iOS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2002
PS4,Action,8.6,0.12,0.12,0.04,0.04,0.01,2017
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2010
NES,Action,7.5,0.12,0.12,0.04,0.04,0.01,1985
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
PS,Action,9.4,0.12,0.12,0.04,0.04,0.01,1999
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
XOne,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
GC,Action,7.9,0.12,0.12,0.04,0.04,0.01,2001
PSP,Action,8.9,0.12,0.12,0.04,0.04,0.01,2008
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2020
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2006
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,1989
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
WiiU,Action,7.8,0.12,0.12,0.04,0.04,0.01,2013
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2007
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
PS3,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2007
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Action,9.0,0.12,0.12,0.04,0.04,0.01,2012
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2012
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PS,Action,8.6,0.12,0.12,0.04,0.04,0.01,1996
N64,Action,7.5,0.12,0.12,0.04,0.04,0.01,1996
PC,Action,8.8,0.12,0.12,0.04,0.04,0.01,2012
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2020
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2020
PC,Action,9.0,0.12,0.12,0.04,0.04,0.01,2011
PS3,Action,9.2,0.12,0.12,0.04,0.04,0.01,2009
PS,Action,8.9,0.12,0.12,0.04,0.04,0.01,1999
PC,Action,7.6,0.12,0.12,0.04,0.04,0.01,2010
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2005
PS2,Action,9.6,0.12,0.12,0.04,0.04,0.01,2005
PS2,Action,7.5,0.12,0.12,0.04,0.04,0.01,2003
PC,Action,9.3,0.12,0.12,0.04,0.04,0.01,2009
PS2,Action,9.1,0.12,0.12,0.04,0.04,0.01,2001
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PS4,Action,8.5,0.12,0.12,0.04,0.04,0.01,2018
XOne,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
3DS,Action,6.2,0.12,0.12,0.04,0.04,0.01,2013
PS2,Action,8.7,0.12,0.12,0.04,0.04,0.01,2001
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2012
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2023
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,1984
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2003
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
PS3,Action,8.7,0.12,0.12,0.04,0.04,0.01,2009
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2021
Wii,Action,9.2,0.12,0.12,0.04,0.04,0.01,2007
X360,Action,8.0,0.12,0.12,0.04,0.04,0.01,2006
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2022
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
NS,Action,8.0,0.12,0.12,0.04,0.04,0.01,2017
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2012
X360,Action,8.4,0.12,0.12,0.04,0.04,0.01,2006
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
3DS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
PS2,Action,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
PS2,Action,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
PS2,Action,6.5,0.12,0.12,0.04,0.04,0.01,2003
PS2,Action,7.5,0.12,0.12,0.04,0.04,0.01,2005
GBA,Action,7.5,0.12,0.12,0.04,0.04,0.01,2003
3DS,Action,7.7,0.12,0.12,0.04,0.04,0.01,2016
NS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2019
GC,Action,9.6,0.12,0.12,0.04,0.04,0.01,2005
PC,Action,9.3,0.12,0.12,0.04,0.04,0.01,2012
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
PS2,Action,7.5,0.12,0.12,0.04,0.04,0.01,2004
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2000
PS2,Action,7.5,0.12,0.12,0.04,0.04,0.01,2006
PS3,Action,8.0,0.12,0.12,0.04,0.04,0.01,2007
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,1997
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2005
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2007
SNES,Action,10.0,0.12,0.12,0.04,0.04,0.01,1991
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PS3,Action,7.5,0.12,0.12,0.04,0.04,0.01,2012
PS2,Action,7.1,0.12,0.12,0.04,0.04,0.01,2004
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2020
3DS,Action,5.3,0.12,0.12,0.04,0.04,0.01,2011
PS2,Action,8.4,0.12,0.12,0.04,0.04,0.01,2001
NS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
3DS,Action,8.0,0.12,0.12,0.04,0.04,0.01,2012
PS2,Action,7.0,0.12,0.12,0.04,0.04,0.01,2003
GC,Action,8.9,0.12,0.12,0.04,0.04,0.01,2002
NS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2019
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PS2,Action,8.6,0.12,0.12,0.04,0.04,0.01,2005
X360,Action,7.5,0.12,0.12,0.04,0.04,0.01,2012
XOne,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
GC,Action,8.2,0.12,0.12,0.04,0.04,0.01,2002
NS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
NS,Action,9.5,0.12,0.12,0.04,0.04,0.01,2018
PS,Action,8.8,0.12,0.12,0.04,0.04,0.01,2000
XB,Action,9.4,0.12,0.12,0.04,0.04,0.01,2004
PS,Action,7.5,0.12,0.12,0.04,0.04,0.01,1998
PSP,Action,8.3,0.12,0.12,0.04,0.04,0.01,2010
XOne,Action,7.5,0.12,0.12,0.04,0.04,0.01,2020
WiiU,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
X360,Action,8.2,0.12,0.12,0.04,0.04,0.01,2008
NES,Action,7.5,0.12,0.12,0.04,0.04,0.01,1986
DC,Action,9.2,0.12,0.12,0.04,0.04,0.01,2000
PS,Action,8.3,0.12,0.12,0.04,0.04,0.01,1997
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PS3,Action,8.8,0.12,0.12,0.04,0.04,0.01,2007
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2007
NS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2022
XOne,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
XOne,Action,7.9,0.12,0.12,0.04,0.04,0.01,2017
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
SNES,Action,7.5,0.12,0.12,0.04,0.04,0.01,1993
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2019
PC,Action,8.9,0.12,0.12,0.04,0.04,0.01,2009
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2021
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PS2,Action,8.8,0.12,0.12,0.04,0.04,0.01,2006
NS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
NS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2022
WiiU,Action,7.4,0.12,0.12,0.04,0.04,0.01,2014
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2012
3DS,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2019
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2006
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2021
PS2,Action,7.5,0.12,0.12,0.04,0.04,0.01,2001
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2016
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2005
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2022
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,1988
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2015
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2017
PS4,Action,7.5,0.12,0.12,0.04,0.04,0.01,2020
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2008
PS,Action,9.0,0.12,0.12,0.04,0.04,0.01,1998
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2014
Series,Action,7.5,0.12,0.12,0.04,0.04,0.01,2011
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2011
All,Action,7.5,0.12,0.12,0.04,0.04,0.01,2018
PS3,Action,7.5,0.12,0.12,0.04,0.04,0.01,2012
PC,Action,7.5,0.12,0.12,0.04,0.04,0.01,2013
PS3,Action,8.6,0.12,0.12,0.04,0.04,0.01,2011
